City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Ilebo,CD,68.14,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
Cariamanga,EC,68.77,overcast clouds,-4.3333,-79.55,Bermeo Plaza Hotel
Frontera,MX,74.32,overcast clouds,26.9333,-101.45,Fiesta Inn Monclova
Shakawe,BW,77.16,clear sky,-18.3667,21.85,Ditlhapi Guest House
Srandakan,ID,76.82,overcast clouds,-7.9386,110.2506,Puri Brata
Pimentel,PE,70.09,few clouds,-6.8367,-79.9342,Hotel Puerto del Sol
Yeppoon,AU,64.18,overcast clouds,-23.1333,150.7333,Villa Mar Colina
Kaliganj,BD,77.81,light rain,23.4095,89.1402,অয়ন বিশ্বাস হাউজ
Naze,JP,77.92,few clouds,28.3667,129.4833,Shishime Hotel
Kismayo,SO,76.3,broken clouds,-0.3582,42.5454,Agan-Hotel
Bambanglipuro,ID,76.69,overcast clouds,-7.95,110.2833,Puri Brata
Maba,CN,76.5,clear sky,24.6841,113.5984,Huayi Traders Hotel
Savannah Bight,HN,79.59,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
Dinard,FR,61.29,overcast clouds,48.6314,-2.0614,EMERIA Dinard Hôtel Thalasso & Spa
Waseca,US,73.42,clear sky,44.0777,-93.5074,American Motel
Kasongo,CD,72.12,light rain,-4.45,26.6667,Guest Hôtel
Sumbe,AO,73.15,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
Honiara,SB,76.62,overcast clouds,-9.4333,159.95,Heritage Park Hotel
Impfondo,CG,70.05,light rain,1.6381,18.0667,Auberge La Place de Jules
Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
Kisangani,CD,71.31,overcast clouds,0.5167,25.2,Grand Ramela Hotel
Chokwe,MZ,75.51,clear sky,-24.5333,32.9833,Complexo Sonho Real
Carballo,ES,66.0,overcast clouds,43.213,-8.691,Pazo do Souto
Alice Springs,AU,67.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
Vanimo,PG,76.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
Quatre Cocos,MU,71.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
Warri,NG,74.48,overcast clouds,5.5167,5.75,GT Guesthouse
Ambulu,ID,76.1,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
Magsingal,PH,77.61,broken clouds,17.685,120.4244,Hapas Farm House
Zaria,NG,72.88,light rain,11.1113,7.7227,A.B.U Hotels
Mlonggo,ID,79.75,overcast clouds,-6.5333,110.7,Asia Metal Art
Buchanan,LR,76.21,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
Banjar,ID,76.78,overcast clouds,-8.19,114.9675,The Hamsa Resort
Yenagoa,NG,73.99,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
Tukrah,LY,74.62,clear sky,32.5341,20.5791,Lagrota restaurant
Omboue,GA,76.68,overcast clouds,-1.5746,9.2618,Hotel Olako
Muros,ES,67.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
Marawi,PH,69.08,light rain,7.9986,124.2928,Derogongan Residence
Taltal,CL,64.15,scattered clouds,-25.4,-70.4833,Residencial Karime
Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
Bende,NG,73.06,overcast clouds,5.5572,7.6368,Bende Local Government Corppers Lodge
Adelaide,AU,64.44,clear sky,-34.9333,138.6,The Chancellor on Currie
Bonnyville,CA,67.8,clear sky,54.2668,-110.735,Best Western Bonnyville Inn & Suites
Maumere,ID,79.47,scattered clouds,-8.6199,122.2111,Sylvia Hotel
Pacific Grove,US,69.48,scattered clouds,36.6177,-121.9166,Lovers Point Inn
Mayumba,GA,76.03,overcast clouds,-3.432,10.6554,LIKWALE LODGE
Dongli,CN,76.98,clear sky,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
Doka,SD,78.1,overcast clouds,13.5167,35.7667,منصور عثمان
Faro,PT,74.98,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
Hue,VN,78.91,broken clouds,16.4667,107.6,Saigon Morin Hotel
Laguna,US,78.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
Tabas,IR,75.42,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
Ulundi,ZA,67.41,scattered clouds,-28.3352,31.4162,Ekhethelo Lodge Ulundi
Awka,NG,74.98,overcast clouds,6.2101,7.0741,Best Western Meloch Hotel
Xushan,CN,78.73,clear sky,30.1764,121.2457,Hangzhou Bay Hotel
Fort Saint James,CA,64.31,broken clouds,54.4333,-124.25,The View Hotel
Duluth,US,64.08,scattered clouds,46.7833,-92.1066,South Pier Inn
Nakamura,JP,70.54,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
Kushima,JP,70.34,scattered clouds,31.4583,131.2333,Hanaoka
Walla Walla,US,77.67,clear sky,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
Sambava,MG,68.43,clear sky,-14.2667,50.1667,Melrose
Padang,ID,75.94,overcast clouds,-0.9492,100.3543,Mercure Padang
Saurimo,AO,66.33,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
Cabra,ES,76.19,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
Ingham,US,67.17,clear sky,42.6,-84.3833,Sunset Mobile Home Park
Kamina,CD,72.99,overcast clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
Port Keats,AU,77.88,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
Brindisi,IT,68.43,few clouds,40.5833,17.6667,Agriturismo Tibitone
Ponta Delgada,PT,76.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
Moyale,KE,74.25,overcast clouds,3.5167,39.0584,La Tahzan Guest House
Emerald,AU,66.34,overcast clouds,-23.5333,148.1667,The Irish Village
Robertsport,LR,78.22,light rain,6.7533,-11.3686,Kwepunha Retreat
Medea,DZ,73.51,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
Numazu,JP,67.01,overcast clouds,35.1,138.8667,Numazu Riverside Hotel
Mae Hong Son,TH,73.72,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
Akyab,MM,79.21,heavy intensity rain,20.15,92.9,ဟိုတယ် မန်မိုရီ
Bangalore,IN,72.93,overcast clouds,12.9762,77.6033,The Chancery Hotel
Kunda,IN,79.11,clear sky,25.7167,81.5167,Girja Sankar And Arvind gupta
Buseresere,TZ,70.27,few clouds,-3.0236,31.8747,Flamingo Hotels
Talas,TR,68.67,broken clouds,38.6908,35.5538,Fimaj Residence
El Alto,PE,69.46,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
Mossendjo,CG,72.03,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
Langfang,CN,63.55,overcast clouds,39.5097,116.6947,Wanda Realm Langfang
Taganak,PH,78.94,overcast clouds,6.0833,118.3,Taganak
Namatanai,PG,78.31,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
Kamaishi,JP,65.52,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
Palmerston,AU,78.89,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
High Prairie,CA,67.21,overcast clouds,55.4334,-116.4858,Royal Star Motor Inn
Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
Torit,SS,75.72,scattered clouds,4.4133,32.5678,Diplomat Guest House
Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
Pafos,CY,78.58,clear sky,34.7667,32.4167,Elysium Hotel
Bereda,ES,62.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
Atambua,ID,74.46,overcast clouds,-9.1061,124.8925,Ros Muskanan
Slave Lake,CA,64.38,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
Aleksandrov Gay,RU,66.7,overcast clouds,50.147,48.5704,Gostinitsa
Sikonge,TZ,76.96,clear sky,-5.6333,32.7667,Sikonge Ndawvukilo Lodge
Cepu,ID,77.0,overcast clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
